0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.76771075,0.38336354,0.6454772,0.45776275,0.54775655,0.551273,0.4575564,0.5115707,0.5065895,0.5472838,0.6815412,0.7096146,0.51708966,0.7518685,0.6816729,0.58894676,0.7156775,0.64408225,0.5356179,0.46161148,0.6811656,0.62254536,0.55835843,0.55175287,0.5639034,0.61157316,1.0000006,0.62056017,0.6140121,0.49931985,0.57397777,0.52613395,0.45829985,0.4794635,0.76682246,0.26828337,0.49585056,0.5933277
0.6567571,0.34627694,0.57762337,0.43047962,0.40931475,0.6139588,0.37259382,0.54920477,0.43508983,0.4003703,0.44818112,0.51087755,0.44548085,0.39118236,0.47788548,0.5665394,0.4456159,0.48294768,0.68315,0.39562106,0.49731156,0.73824435,0.5630562,0.56130767,0.64001626,0.5138912,0.62056017,1.0000001,0.58249605,0.31423998,0.503542,0.72642434,0.5623947,0.3441804,0.51982385,0.26241523,0.342855,0.69606173
0.805681,0.65032864,0.6173535,0.6104569,0.48579547,0.46770313,0.5771104,0.5444412,0.5992114,0.6939554,0.58138,0.59908986,0.3812388,0.5546387,0.6365359,0.78241223,0.5970069,0.52076435,0.6693779,0.67494273,0.7632339,0.49783874,0.43675458,0.7441799,0.5022581,0.45354697,0.6140121,0.58249605,0.9999999,0.59849674,0.8694825,0.5141536,0.32535154,0.53787243,0.7032483,0.50371176,0.56370217,0.6673371
0.69756645,0.5926482,0.54186267,0.6279191,0.3691195,0.33933777,0.7201455,0.5710014,0.628199,0.70887554,0.36803806,0.5155431,0.19553879,0.57308596,0.5786264,0.4738606,0.570892,0.5090103,0.44164407,0.65462625,0.5803395,0.29346365,0.25603387,0.6579694,0.3790187,0.30237532,0.49931985,0.31423998,0.59849674,0.9999998,0.6591965,0.32681927,0.13654605,0.5294634,0.4649898,0.39685622,0.75291294,0.5042654
0.8058276,0.6547182,0.63377726,0.61416006,0.45422205,0.4485116,0.6174628,0.5243267,0.62148875,0.69036007,0.52608067,0.6006983,0.34248865,0.5431043,0.6190092,0.72131497,0.60708356,0.5259197,0.5625473,0.68305206,0.75062585,0.45991805,0.4025463,0.8590949,0.48041773,0.4436278,0.57397777,0.503542,0.8694825,0.6591965,0.9999998,0.5093305,0.32516295,0.6414494,0.66162086,0.49333826,0.67843366,0.6640019
0.64480036,0.37824076,0.51197684,0.43610895,0.46840698,0.60286534,0.3593163,0.48945248,0.49707025,0.41215655,0.46220678,0.5138423,0.42593506,0.3243977,0.4694641,0.5595834,0.47266975,0.3837203,0.6079979,0.35235906,0.51470494,0.6111644,0.5181355,0.59078515,0.6995465,0.5251841,0.52613395,0.72642434,0.5141536,0.32681927,0.5093305,0.99999994,0.50238895,0.36102027,0.5154364,0.30198812,0.37035286,0.6391685
0.5326134,0.2672843,0.6324756,0.3261537,0.36107635,0.6232374,0.24388741,0.41009498,0.35120302,0.29463783,0.45949382,0.5011516,0.5718585,0.24849239,0.38553825,0.32447547,0.38932377,0.34399068,0.45536938,0.26132232,0.3642517,0.6746238,0.7634942,0.36258063,0.5384819,0.44002298,0.45829985,0.5623947,0.32535154,0.13654605,0.32516295,0.50238895,1.0000001,0.2077853,0.264341,0.26463908,0.2296958,0.40697804
0.66156614,0.560523,0.49033338,0.440091,0.27369115,0.34306014,0.56792414,0.4702236,0.53841525,0.6328006,0.3267654,0.3962165,0.2270826,0.6208166,0.4786242,0.45981994,0.47202018,0.5507679,0.5017129,0.50701284,0.46386355,0.31591353,0.2641554,0.7118676,0.3853762,0.38975778,0.4794635,0.3441804,0.53787243,0.5294634,0.6414494,0.36102027,0.2077853,0.9999998,0.43746948,0.40318194,0.54859227,0.4686361
0.65582794,0.3400912,0.42302814,0.37584904,0.5093027,0.38493872,0.33327568,0.3837593,0.46218303,0.51727295,0.65495527,0.54898417,0.36020815,0.5913309,0.60334045,0.7390729,0.67755735,0.527099,0.4428408,0.42354855,0.7098185,0.43727943,0.34890187,0.5337622,0.4536538,0.4470331,0.76682246,0.51982385,0.7032483,0.4649898,0.66162086,0.5154364,0.264341,0.43746948,1.0000002,0.2217035,0.4652208,0.53209007
0.61773986,0.84412044,0.67265946,0.63606054,0.29501364,0.43317676,0.5781419,0.41875437,0.5273893,0.51992166,0.30779013,0.41751876,0.3005549,0.39484823,0.39712828,0.34338403,0.33344898,0.36675066,0.46208632,0.6312127,0.4094951,0.3701745,0.35112518,0.53408116,0.29516172,0.3617733,0.26828337,0.26241523,0.50371176,0.39685622,0.49333826,0.30198812,0.26463908,0.40318194,0.2217035,1.0,0.38411137,0.43446508
